Source,Target,Value
Australian Open,Johan Kriek,2
Wimbledon,John Mcenroe,3
US Open,John Mcenroe,4
Wimbledon,John Newcombe,3
US Open,John Newcombe,2
Australian Open,John Newcombe,2
Roland Garros,Jozsef Asboth,1
Roland Garros,Juan Carlos Ferrero,1
US Open,Juan Martin Del Potro,1
US Open,Ken Rosewall,2
Australian Open,Ken Rosewall,4
Roland Garros,Ken Rosewall,2
Wimbledon,Lew Hoad,2
Australian Open,Lew Hoad,1
Roland Garros,Lew Hoad,1
Wimbledon,Lleyton Hewitt,1
US Open,Lleyton Hewitt,1
US Open,Mal Anderson,1
US Open,Manuel Orantes,1
Wimbledon,Manuel Santana,1
US Open,Manuel Santana,1
Roland Garros,Manuel Santana,2
US Open,Marat Safin,1
Australian Open,Marat Safin,1
Roland Garros,Marcel Bernard,1
US Open,Marin Cilic,1
Australian Open,Mark Edmondson,1
US Open,Mats Wilander,1
Australian Open,Mats Wilander,3
Roland Garros,Mats Wilander,3
Australian Open,Mervyn Rose,1
Roland Garros,Mervyn Rose,1
Roland Garros,Michael Chang,1
Wimbledon,Michael Stich,1
Wimbledon,Neale Fraser,1
US Open,Neale Fraser,2
Roland Garros,Nicola Pietrangeli,2
Wimbledon,Novak Djokovic,7
US Open,Novak Djokovic,4
Australian Open,Novak Djokovic,10
Roland Garros,Novak Djokovic,3
Wimbledon,Pat Cash,1
US Open,Patrick Rafter,2
Wimbledon,Pete Sampras,7
US Open,Pete Sampras,5
Australian Open,Pete Sampras,2
Australian Open,Petr Korda,1
Wimbledon,Rafael Nadal,2
US Open,Rafael Nadal,4
Australian Open,Rafael Nadal,2
Roland Garros,Rafael Nadal,14
US Open,Rafael Osuna,1
US Open,Richard Gonzalez,2
Wimbledon,Richard Krajicek,1
Wimbledon,Rod Laver,4
US Open,Rod Laver,2
Australian Open,Rod Laver,3
Roland Garros,Rod Laver,2
Wimbledon,Roger Federer,8
US Open,Roger Federer,5
Australian Open,Roger Federer,6
Roland Garros,Roger Federer,1
Australian Open,Roscoe Tanner,1
Wimbledon,Roy Emerson,2
US Open,Roy Emerson,2
Australian Open,Roy Emerson,6
Roland Garros,Roy Emerson,2
Roland Garros,Sergi Bruguera,2
Wimbledon,Sidney Wood Jr,1
US Open,Stan Wawrinka,1
Australian Open,Stan Wawrinka,1
Roland Garros,Stan Wawrinka,1
Wimbledon,Stefan Edberg,2
US Open,Stefan Edberg,2
Australian Open,Stefan Edberg,2
Roland Garros,Sven Davidson,1
Wimbledon,Ted Schroeder,1
US Open,Ted Schroeder,1
Australian Open,Thomas Johansson,1
Roland Garros,Thomas Muster,1
Roland Garros,Tony Roche,1
Wimbledon,Tony Trabert,1
US Open,Tony Trabert,2
Roland Garros,Tony Trabert,2
Wimbledon,Vic Seixas,1
US Open,Vic Seixas,1
Roland Garros,Yannick Noah,1
Australian Open,Yevgeny Kafelnikov,1
Roland Garros,Yevgeny Kafelnikov,1
