Player,Total_Titles,Total_Titles_Text,GS,GS_Text,ATP1000,ATP Finale,Olympics,ATP1000+Finale,ATP1000+Finale_Text,WR,W,Matches
Sergiy Stakhovsky,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5228290062667861,584,1117
Go Soeda,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5747538048343778,642,1117
Roberto Bautista Agut,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6180860403863038,704,1139
Fabio Fognini,1,0 + 1 + 0 + 0,0,0 + 0 + 0 + 0,1,0,0,1,1 + 0,0.5556544968833482,624,1123
Aldin Setkic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5922242314647378,655,1106
Andrea Arnaboldi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.47959183673469385,517,1078
Stan Wawrinka,4,3 + 1 + 0 + 0,3,1 + 0 + 1 + 1,1,0,0,1,1 + 0,0.6292548298068077,684,1087
Denis Istomin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5247895229186156,561,1069
Yannick Mertens,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5891996142719382,611,1037
Malek Jaziri,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.527536231884058,546,1035
Facundo Bagnis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5877788554801164,606,1031
Lukas Lacko,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5551219512195122,569,1025
Adrian Menendez Maceiras,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5345666991236612,549,1027
Benoit Paire,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.532555879494655,548,1029
Jaroslav Pospisil,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5886385896180215,601,1021
Radu Albot,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5670202507232401,588,1037
Marin Cilic,2,1 + 1 + 0 + 0,1,0 + 0 + 0 + 1,1,0,0,1,1 + 0,0.6392961876832844,654,1023
Matteo Viola,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5281899109792285,534,1011
Mikhail Kukushkin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5553359683794467,562,1012
Joao Sousa,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5119521912350598,514,1004
Marsel Ilhan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5816023738872403,588,1011
Dudi Sela,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5922233300099701,594,1003
Matthias Bachinger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5416248746238717,540,997
Steven Diez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5457317073170732,537,984
Mohamed Safwat,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5925925925925926,592,999
Gael Monfils,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6301507537688442,627,995
Ivan Nedelko,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5973360655737705,583,976
Tobias Kamke,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5218295218295218,502,962
Tatsuma Ito,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.564901349948079,544,963
Mischa Zverev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.503125,483,960
David Goffin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6324435318275154,616,974
Robin Haase,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5484210526315789,521,950
Illya Marchenko,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5599582898852972,537,959
Jo Wilfried Tsonga,2,0 + 2 + 0 + 0,0,0 + 0 + 0 + 0,2,0,0,2,2 + 0,0.6733193277310925,641,952
Evgeny Donskoy,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5343915343915344,505,945
Konstantin Kravchuk,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5765575501583949,546,947
Pablo Cuevas,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5942492012779552,558,939
Hiroki Moriya,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5273684210526316,501,950
Ruben Bemelmans,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5699039487726788,534,937
Pablo Andujar,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5255319148936171,494,940
Federico Coria,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.601063829787234,565,940
Miljan Zekic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5985010706638115,559,934
Daniel Dutra Da Silva,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6043841336116911,579,958
Jose Rubin Statham,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5579399141630901,520,932
Taro Daniel,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5799136069114471,537,926
Peter Gojowczyk,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5436681222707423,498,916
Jan Lennard Struff,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5694444444444444,533,936
Stephane Robert,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5912568306010929,541,915
Roberto Carballes Baena,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5889967637540453,546,927
Dusan Lajovic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5391304347826087,496,920
Diego Schwartzman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5939196525515744,547,921
Andrej Martin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5592469545957918,505,903
Rod Laver,11,11 + 0 + 0 + 0,11,3 + 4 + 2 + 2,0,0,0,0,0 + 0,0.772256728778468,1492,1932
Federico Gaio,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5339265850945495,480,899
Uladzimir Ignatik,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5682574916759157,512,901
Peter Polansky,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5478841870824054,492,898
Kevin Anderson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6159822419533851,555,901
John Isner,1,0 + 1 + 0 + 0,0,0 + 0 + 0 + 0,1,0,0,1,1 + 0,0.6131549609810479,550,897
Damir Dzumhur,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5829646017699115,527,904
Grigor Dimitrov,2,0 + 1 + 1 + 0,0,0 + 0 + 0 + 0,1,1,0,2,1 + 1,0.6194690265486725,560,904
Yuichi Sugita,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5766174801362088,508,881
Jeremy Chardy,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5333333333333333,472,885
Ricardas Berankis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5900552486187846,534,905
Marius Copil,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5401129943502825,478,885
Thomaz Bellucci,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5368063420158551,474,883
Oriol Roca Batalla,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6255555555555555,563,900
Kenny De Schepper,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5230596175478065,465,889
Gastao Elias,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.555431131019037,496,893
Norbert Gombos,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5621436716077537,493,877
Donald Young,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5251716247139588,459,874
Ernests Gulbis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5410404624277456,468,865
Denis Kudla,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5553021664766249,487,877
Daniel Evans,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5979614949037373,528,883
Lorenzo Giustino,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4943310657596372,436,882
Vasek Pospisil,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5754060324825986,496,862
Federico Delbonis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5518867924528302,468,848
Thomas Fabbiano,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5447058823529412,463,850
Pablo Carreno Busta,1,0 + 1 + 0 + 0,0,0 + 0 + 0 + 0,1,0,0,1,1 + 0,0.6360424028268551,540,849
Sam Querrey,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5602836879432624,474,846
Alejandro Gonzalez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5455621301775148,461,845
Igor Sijsling,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5662650602409639,470,830
Lamine Ouahab,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6594202898550725,546,828
Stefano Travaglia,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6069295101553166,508,837
Andrea Collarini,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5584725536992841,468,838
Marco Trungelliti,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5734939759036145,476,830
Matthew Ebden,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.558679706601467,457,818
Alexey Vatutin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5507246376811594,456,828
Alessandro Giannessi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5175757575757576,427,825
Andrey Golubev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5317848410757946,435,818
Marco Cecchinato,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5644768856447688,464,822
Jimmy Connors,8,8 + 0 + 0 + 0,8,1 + 2 + 0 + 5,0,0,0,0,0 + 0,0.8100490196078431,1322,1632
Renzo Olivo,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.508578431372549,415,816
Roger Federer,54,20 + 28 + 6 + 0,20,6 + 8 + 1 + 5,28,6,0,34,28 + 6,0.8153067678684377,1289,1581
Kei Nishikori,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6816479400749064,546,801
Liam Broady,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5761421319796954,454,788
Ramkumar Ramanathan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5375,430,800
Guido Pella,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5847133757961783,459,785
Martin Klizan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5764411027568922,460,798
Jonathan Eysseric,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5481386392811296,427,779
Jozef Kovalik,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5652173913043478,442,782
Ilie Nastase,2,2 + 0 + 0 + 0,2,0 + 0 + 1 + 1,0,0,0,0,0 + 0,0.7221067221067221,1042,1443
Thiago Monteiro,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5625,441,784
Arthur Ashe,3,3 + 0 + 0 + 0,3,1 + 1 + 0 + 1,0,0,0,0,0 + 0,0.7630548302872062,1169,1532
Nikoloz Basilashvili,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5246523388116309,415,791
Henri Laaksonen,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5170157068062827,395,764
Marton Fucsovics,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5701415701415702,443,777
John Millman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5851755526657998,450,769
Kento Takeuchi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5065274151436031,388,766
Zhe Li,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5680628272251309,434,764
Dimitar Kuzmanov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6291989664082688,487,774
Mirza Basic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5494223363286265,428,779
Facundo Mena,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5675675675675675,441,777
Juan Martin Del Potro,2,1 + 1 + 0 + 0,1,0 + 0 + 0 + 1,1,0,0,1,1 + 0,0.7048748353096179,535,759
Goncalo Oliveira,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5123859191655802,393,767
Tsung Hua Yang,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5364238410596026,405,755
Pierre Hugues Herbert,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.552317880794702,417,755
Antoine Escoffier,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5913272010512484,450,761
Denis Yevseyev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5364238410596026,405,755
Dennis Novak,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6229729729729729,461,740
Salvatore Caruso,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5342465753424658,390,730
Pedro Sousa,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5841313269493844,427,731
James Duckworth,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.602921646746348,454,753
Roberto Marcora,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5497237569060773,398,724
Dominic Thiem,2,1 + 1 + 0 + 0,1,0 + 0 + 0 + 1,1,0,0,1,1 + 0,0.6351351351351351,470,740
Yasutaka Uchiyama,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5499316005471956,402,731
Gregoire Barrere,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5662162162162162,419,740
Constant Lestienne,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5643153526970954,408,723
Jordan Thompson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5994513031550068,437,729
Kimmer Coppejans,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5664335664335665,405,715
Laurynas Grigelis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5961272475795297,431,723
Tennys Sandgren,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5607734806629834,406,724
Thiemo De Bakker,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5977808599167822,431,721
Guido Andreozzi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5653370013755158,411,727
Blaz Rola,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5963431786216596,424,711
Jiri Vesely,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.574792243767313,415,722
Riccardo Bonadio,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5489655172413793,398,725
Tristan Lamasine,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5428176795580111,393,724
Milos Raonic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6596638655462185,471,714
Mathias Bourgue,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5888888888888889,424,720
John Newcombe,7,7 + 0 + 0 + 0,7,2 + 3 + 0 + 2,0,0,0,0,0 + 0,0.7234794908062234,1023,1414
Hugo Dellien,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6131284916201117,439,716
Ken Rosewall,8,8 + 0 + 0 + 0,8,4 + 0 + 2 + 2,0,0,0,0,0 + 0,0.6971608832807571,1326,1902
Filip Horansky,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5772005772005772,400,693
Filip Krajinovic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5926449787835927,419,707
Alexander Zverev,9,0 + 6 + 2 + 1,0,0 + 0 + 0 + 0,6,2,1,8,6 + 2,0.6740638002773925,486,721
Juan Pablo Paz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5716292134831461,407,712
Dmitry Popko,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6162464985994398,440,714
Emilio Gomez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5604551920341394,394,703
Roy Emerson,12,12 + 0 + 0 + 0,12,6 + 2 + 2 + 2,0,0,0,0,0 + 0,0.7769328263624842,1226,1578
Gerald Melzer,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5854341736694678,418,714
Daniil Medvedev,8,1 + 6 + 1 + 0,1,0 + 0 + 0 + 1,6,1,0,7,6 + 1,0.7134751773049646,503,705
Frederico Ferreira Silva,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6008522727272727,423,704
Bernard Tomic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5492957746478874,390,710
Jose Pereira,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5792426367461431,413,713
Ivan Gakhov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5852272727272727,412,704
Jason Jung,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5508100147275405,374,679
David Perez Sanz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6087591240875913,417,685
Andrey Rublev,2,0 + 2 + 0 + 0,0,0 + 0 + 0 + 0,2,0,0,2,2 + 0,0.6492753623188405,448,690
Juan Ignacio Londero,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5529411764705883,376,680
Maxime Chazal,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5928057553956835,412,695
Inigo Cervantes Huegun,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5300146412884333,362,683
Guillermo Vilas,4,4 + 0 + 0 + 0,4,2 + 0 + 1 + 1,0,0,0,0,0 + 0,0.7462803445575568,953,1277
Wilson Leite,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4623188405797101,319,690
Hernan Casanova,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6201438848920864,431,695
Mitchell Krueger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5138282387190685,353,687
Pedro Cachin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5912408759124088,405,685
Toshihide Matsui,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4785185185185185,323,675
Ricardo Rodriguez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5873715124816447,400,681
Paolo Lorenzi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5340823970037453,713,1335
Steve Johnson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5492537313432836,368,670
Cem Ilkel,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5480059084194978,371,677
Filip Peliwo,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5601173020527859,382,682
Aljaz Bedene,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6280120481927711,417,664
Stan Smith,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.9069767441860465,39,43
Maximilian Neuchrist,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.581081081081081,387,666
Dayne Kelly,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5954887218045113,396,665
Stefanos Tsitsipas,4,0 + 3 + 1 + 0,0,0 + 0 + 0 + 0,3,1,0,4,3 + 1,0.6764705882352942,460,680
Egor Gerasimov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5678092399403875,381,671
David Ferrer,1,0 + 1 + 0 + 0,0,0 + 0 + 0 + 0,1,0,0,1,1 + 0,0.6580742987111448,868,1319
Ivan Lendl,8,8 + 0 + 0 + 0,8,2 + 0 + 3 + 3,0,0,0,0,0 + 0,0.8160484481453444,1078,1321
Ryan Harrison,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5288753799392097,348,658
Daniel Cox,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5930408472012103,392,661
Elias Ymer,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5382308845577212,359,667
Pedro Martinez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5993930197268589,395,659
Peter Heller,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.629742033383915,415,659
Aslan Karatsev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5740740740740741,372,648
Evgeny Karlovskiy,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5362537764350453,355,662
